epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,873.709,0.31105,0.47449,0.23832,0.86469,0.99665,0.99861,0.99419,0.76858,0.84098,0.83984,0.82053,0.31251,0.88211,1.27862,0.37252,1.43198,0.000142,0.000142,0.000142
106,881.793,0.30806,0.48419,0.23679,0.86272,0.9963,0.99819,0.99413,0.76854,0.84958,0.84681,0.8215,0.31532,0.88143,1.25738,0.37289,1.43978,0.00013375,0.00013375,0.00013375
107,889.902,0.3006,0.46447,0.22893,0.85447,0.99343,0.99783,0.99421,0.77157,0.8444,0.84072,0.82486,0.32013,0.89659,1.29322,0.36864,1.45529,0.0001255,0.0001255,0.0001255
108,898.053,0.29999,0.45242,0.22241,0.85564,0.99523,0.99628,0.99427,0.76928,0.86005,0.85448,0.83858,0.32305,0.8885,1.29161,0.37219,1.46182,0.00011725,0.00011725,0.00011725
109,906.189,0.30839,0.49732,0.23857,0.86178,0.99652,0.99768,0.99407,0.76884,0.84557,0.84297,0.82719,0.31399,0.8878,1.29205,0.38178,1.45195,0.000109,0.000109,0.000109
110,914.244,0.29241,0.44537,0.21941,0.85651,0.99669,0.9977,0.99431,0.77194,0.84436,0.8419,0.82903,0.31717,0.87758,1.29254,0.37189,1.44383,0.00010075,0.00010075,0.00010075
111,930.471,0.28513,0.40876,0.21069,0.84425,0.99661,0.99898,0.99436,0.77573,0.84924,0.85,0.83296,0.3232,0.87434,1.28195,0.36967,1.43902,9.25e-05,9.25e-05,9.25e-05
112,938.57,0.28041,0.40835,0.20786,0.84233,0.99606,0.99898,0.99413,0.77218,0.84983,0.84898,0.82845,0.32071,0.87894,1.26835,0.37528,1.43892,8.425e-05,8.425e-05,8.425e-05
113,946.55,0.2689,0.40407,0.20444,0.83815,0.99605,0.99852,0.99392,0.77225,0.85103,0.85204,0.83494,0.31895,0.87102,1.27386,0.37113,1.44362,7.6e-05,7.6e-05,7.6e-05
114,954.502,0.26561,0.39767,0.2013,0.83356,0.99574,0.9986,0.99409,0.77559,0.84642,0.84791,0.83259,0.32053,0.87455,1.27062,0.37219,1.44235,6.775e-05,6.775e-05,6.775e-05
115,962.442,0.26434,0.39592,0.20242,0.83539,0.99661,0.99782,0.9941,0.77501,0.84972,0.84873,0.8352,0.31888,0.86271,1.28342,0.36414,1.43674,5.95e-05,5.95e-05,5.95e-05
116,970.282,0.2607,0.39319,0.19954,0.83364,0.99599,0.99776,0.99398,0.77645,0.85162,0.85079,0.83489,0.32187,0.8771,1.28277,0.37017,1.45119,5.125e-05,5.125e-05,5.125e-05
117,978.324,0.2591,0.39451,0.1988,0.8296,0.99619,0.99894,0.994,0.77863,0.85912,0.85913,0.84787,0.32389,0.86272,1.29114,0.36705,1.43998,4.3e-05,4.3e-05,4.3e-05
118,986.565,0.26055,0.39081,0.20114,0.83429,0.99635,0.9986,0.99395,0.77726,0.85364,0.8531,0.83815,0.32347,0.87018,1.30104,0.3676,1.44235,3.475e-05,3.475e-05,3.475e-05
119,994.64,0.25282,0.38863,0.19687,0.83388,0.99663,0.99745,0.994,0.77747,0.84874,0.84809,0.83676,0.32292,0.87405,1.30512,0.36737,1.44882,2.65e-05,2.65e-05,2.65e-05
120,1002.71,0.24757,0.38763,0.19471,0.82969,0.99567,0.99788,0.99404,0.77728,0.84819,0.84768,0.83683,0.32163,0.87315,1.30263,0.36784,1.44864,1.825e-05,1.825e-05,1.825e-05
